positionRXFoot,positionRYFoot,positionRZFoot,positionLxFoot,positionLyFoot,positionLZFoot
0.25,0,-0,-0.25,0,-0
0.25000037855724,-8.14221701227555e-08,-0,-0.250000131646546,6.46220108652443e-08,-0
0.250001403819827,-2.50342470177047e-07,-0,-0.250000592699379,1.89972148199518e-07,-0
0.2500028416866,-3.56769529847983e-07,-0,-0.250001466103414,2.40107663986979e-07,-0
0.25000444634656,-2.69765515776565e-07,-0,-0.250002725955269,1.06985331126438e-07,-0
0.250005978921716,9.16641745676812e-08,-0,-0.250004248804202,-2.37768299213334e-07,-0
0.250007208686102,7.58427702560128e-07,-0,-0.250005860102822,-7.4212889514574e-07,-0
0.250007971367372,1.72555328602378e-06,-0,-0.250007378111738,-1.32431140522497e-06,-0
0.250008218555862,2.96388500470498e-06,-0,-0.250008653857957,-1.91825403445869e-06,-0
0.250007995952458,4.42300957037736e-06,-0,-0.250009607775274,-2.48500471147831e-06,-0
0.250007385410433,6.03285846749323e-06,-0,-0.250010242990472,-3.0075892256719e-06,-0
0.250006467753684,7.71601600531443e-06,-0,-0.250010614721226,-3.4808273027758e-06,-0
0.250005318755631,9.40346502770043e-06,-0,-0.250010786037724,-3.89683297794706e-06,-0
0.25000401559963,1.10345909834092e-05,-0,-0.250010810559862,-4.24439772226962e-06,-0
0.250002637161749,1.25572954468554e-05,-0,-0.250010729422889,-4.52871961577663e-06,-0
0.250001253053215,1.39398723256369e-05,-0,-0.250010570399436,-4.77365208846755e-06,-0
0.249999912156654,1.51715691219305e-05,-0,-0.250010367893712,-4.99785820859531e-06,-0
0.249998640173501,1.62603371572676e-05,-0,-0.250010170546324,-5.20657734132794e-06,-0
0.249997442804096,1.72309962762453e-05,-0,-0.250010009246604,-5.39246770761197e-06,-0
0.249996315703639,1.81100167445564e-05,-0,-0.250009884878275,-5.53620642865889e-06,-0
0.249995249368953,1.89263859751765e-05,-0,-0.250009796082746,-5.62690096062591e-06,-0
0.249994250588119,1.968836243645e-05,-0,-0.25000975374088,-5.67186736510754e-06,-0
0.24999332979782,2.03836970890759e-05,-0,-0.250009773065074,-5.69222508220048e-06,-0
0.249992471009019,2.10256388057458e-05,-0,-0.250009869312264,-5.72014765541665e-06,-0
0.249991657345907,2.16254475514655e-05,-0,-0.250010040243807,-5.77741257811063e-06,-0
0.249990895012698,2.21737882799849e-05,-0,-0.250010256621978,-5.8636519270232e-06,-0
0.249990190893298,2.26817308440635e-05,-0,-0.250010490380302,-5.97175766099577e-06,-0
0.249989552638231,2.31666806968443e-05,-0,-0.250010731039014,-6.09719034357311e-06,-0
0.249988996218238,2.36307030603902e-05,-0,-0.250010969411198,-6.22465011119358e-06,-0
0.249988524488112,2.40758332539671e-05,-0,-0.250011188027276,-6.32077377287392e-06,-0
0.249988122388174,2.45033402170943e-05,-0,-0.250011370291118,-6.36369317595132e-06,-0
0.249987761895982,2.49153079441188e-05,-0,-0.250011506069119,-6.36045455240855e-06,-0
0.24998740784269,2.53252788666554e-05,-0,-0.250011602428769,-6.33889444345739e-06,-0
0.249987032170514,2.57350876935142e-05,-0,-0.25001168909446,-6.34119925909252e-06,-0
0.249986628640692,2.61208165763685e-05,-0,-0.25001177991578,-6.38368863107822e-06,-0
0.249986206076756,2.64566416974609e-05,-0,-0.250011849957483,-6.43361956040555e-06,-0
0.249985779866801,2.67202592066148e-05,-0,-0.250011896623526,-6.467985590135e-06,-0
0.249985360091556,2.69044146221375e-05,-0,-0.25001197601825,-6.50937024436999e-06,-0
0.249984942537965,2.70327484998313e-05,-0,-0.250012130513586,-6.58034496352902e-06,-0
0.249984529201422,2.713879308942e-05,-0,-0.250012344477439,-6.67516879363122e-06,-0
0.24998414141407,2.72422812832517e-05,-0,-0.250012566364154,-6.76702546295643e-06,-0
0.249983805493823,2.73426740408661e-05,-0,-0.250012725667171,-6.81445836220312e-06,-0
0.249983532065352,2.74322247352572e-05,-0,-0.250012777572472,-6.78862716474946e-06,-0
0.249983310351778,2.75087383188968e-05,-0,-0.250012729215265,-6.68954123396847e-06,-0
0.24998311879567,2.75738160410434e-05,-0,-0.250012590069243,-6.5234128292724e-06,-0
0.249982935354181,2.76315064233165e-05,-0,-0.250012340889982,-6.28811424476248e-06,-0
0.249982740161249,2.76846435894599e-05,-0,-0.250011977637927,-5.98386060329368e-06,-0
0.249982526835858,2.77429363359541e-05,-0,-0.250011537662919,-5.61964775788311e-06,-0
0.249982308349521,2.78277728857182e-05,-0,-0.250011063587868,-5.21641716386151e-06,-0
0.249982098534746,2.79428335408272e-05,-0,-0.250010580226642,-4.80799822539945e-06,-0
0.249981896477921,2.80680062812774e-05,-0,-0.250010101645765,-4.41723825880934e-06,-0
0.249981701805177,2.81911113116536e-05,-0,-0.250009636114636,-4.0418001897161e-06,-0
0.249981506824319,2.8315497549272e-05,-0,-0.250009202749228,-3.66998567807715e-06,-0
0.249981287033893,2.8438590385734e-05,-0,-0.250008840833844,-3.291454753763e-06,-0
0.249981024412886,2.85499178263354e-05,-0,-0.250008574835937,-2.91404332005713e-06,-0
0.249980716181608,2.86419700272689e-05,-0,-0.250008393629394,-2.57245880150982e-06,-0
0.249980381108575,2.87159990525948e-05,-0,-0.250008295949648,-2.30351557123725e-06,-0
0.24998006067946,2.87862118628381e-05,-0,-0.250008317664389,-2.13047051637388e-06,-0
0.249979785737761,2.88603857600422e-05,-0,-0.250008482239211,-2.06341027993732e-06,-0
0.249979552228625,2.89368165284265e-05,-0,-0.250008770895199,-2.10045162869658e-06,-0
