TRFoot,TLFoot
0.0182744165491837,0.00831736210263346
0.0394078647633083,0.0220944489080547
0.0731574466467188,0.0403022154857088
0.116177575799999,0.062235124568479
0.140586586992431,0.0768272557391427
0.130629126990167,0.0786245867762631
0.0968283649741287,0.0754582906350519
0.0724472625102428,0.0805036505096796
0.0803032794028482,0.113720802216735
0.120161184529952,0.191950991178626
0.176383474689062,0.320135990631794
0.22861402326482,0.478548234366035
0.263713993241379,0.618968667044111
0.273855820367309,0.692830250967975
0.290494820860347,0.703074359992462
0.363828593745238,0.701391513030925
0.497640928416544,0.735855806292502
0.656084651964275,0.808935764349659
0.798997592811738,0.892423121440747
0.910929071366877,0.961609616532094
0.982670383655502,1.00494586236404
0.992506403482207,1.03318037223068
0.944524476647012,1.0599682783991
0.873570859345689,1.07634017930369
0.817419757822863,1.06766736672335
0.77524949006657,1.04466721946746
0.702397445741799,1.02333201201072
0.605698018890726,0.990988120222484
0.530044029286025,0.91401713681409
0.477934341053991,0.779484371270956
0.423978796652468,0.617424750191252
0.370713405366611,0.46366210474813
0.340575062619077,0.331889277696726
0.324862206074889,0.225722420023126
0.301238073639691,0.159897001832298
0.270585317168515,0.130725150404768
0.236079403743126,0.117642412870424
0.198251459836861,0.109980287190137
0.179301779022599,0.105475223807119
0.179760699480308,0.103759953852971
0.184382076984519,0.095442069784401
0.187981894308396,0.079723261298004
0.188956837057603,0.0634555947226657
0.20058950066825,0.0550679894587969
0.249498207259116,0.0537854719730327
0.348174554933936,0.062494354897616
0.46766610750894,0.0827584947910528
0.590525812622067,0.106587401312283
0.739410676055793,0.130646836005723
0.917795283150599,0.153552143033319
1.11342293968866,0.171024510596598
1.30360124649721,0.184179094437181
1.46432235505547,0.193884181091362
1.59555375744503,0.192796972036535
1.70778896834031,0.181479654589666
1.80377613118715,0.172344876749995
1.86287408704432,0.17324997312358
1.84446145269701,0.165325622028798
1.72586766566412,0.14556510473698
1.52511963991124,0.139144442835961
1.28000159957327,0.149089388623602
1.02285580030892,0.167853508204847
0.781490780474688,0.186236406007026
0.572455937761729,0.18813356649559
0.40637403085299,0.170008711300184
0.282803813528521,0.136998799188858
0.19067878251085,0.0935473910070622
0.123553894560544,0.0514933968215409
0.0792495401313915,0.0244049554719466
0.0600966485925836,0.016373288647855
0.0495114596238154,0.0264096943212894
0.0354982703842455,0.0535691789947134
0.0321211201020083,0.0840045317415525
0.0415085534795695,0.102932269805561
0.0580778775294583,0.116435595631518
0.079951811041432,0.126408989766364
0.0938465987448633,0.127573297366545
0.0956807827901039,0.123051454579121
0.107296653006074,0.115348051172569
0.145131259772858,0.107126734474741
0.224396299241599,0.108216823674192
0.362910050544364,0.120774965998052
0.570722395474241,0.138736538477939
0.820477864051301,0.155406895542034
1.06998984076115,0.174856577321285
1.30958654825582,0.198714960449494
1.5510259036399,0.215702095902352
1.78255624204669,0.220629415205502
1.94287587025251,0.218446781715767
1.96456679164235,0.210443508714145
1.82840437186792,0.198840131274275
1.57340273160139,0.18465638599461
1.28512262766201,0.166200699812309
1.01511278996742,0.146814564561664
0.763908285398238,0.125767545128649
0.529502405651483,0.107995953871897
0.336311476966104,0.0960978596776897
