positionRXFoot,positionRYFoot,positionRZFoot,positionLxFoot,positionLyFoot,positionLZFoot
0.25,0,-0,-0.25,0,-0
0.250000426405312,1.48062088421298e-07,-0,-0.249999390687806,1.1534634963148e-06,-0
0.250001531299117,5.82920329251603e-07,-0,-0.249997691524724,4.46986188978158e-06,-0
0.250003000619025,1.26323120959583e-06,-0,-0.249995155514586,9.57920995752241e-06,-0
0.250004585885817,2.1239391725077e-06,-0,-0.249992057696965,1.59630811829978e-05,-0
0.250006121016913,3.12932765910918e-06,-0,-0.249988691451051,2.30535155487025e-05,-0
0.250007508681643,4.28894025567182e-06,-0,-0.249985323713917,3.03030273309025e-05,-0
0.250008701244856,5.6292764662662e-06,-0,-0.249982136476668,3.72553490163777e-05,-0
0.250009675920719,7.16498000524023e-06,-0,-0.249979230490959,4.359431037708e-05,-0
0.250010427006831,8.88356164471689e-06,-0,-0.249976659200443,4.91520418197211e-05,-0
0.250010975602798,1.07488325806353e-05,-0,-0.24997444050622,5.38835132011831e-05,-0
0.250011357233429,1.27186590524559e-05,-0,-0.249972558657245,5.78206800718498e-05,-0
0.250011601441312,1.47466916624374e-05,-0,-0.249970973168654,6.10383889395816e-05,-0
0.250011742437821,1.67851468388334e-05,-0,-0.249969640217352,6.36283071574598e-05,-0
0.250011812904107,1.87965825467187e-05,-0,-0.249968521622103,6.56780667693865e-05,-0
0.250011824917786,2.07492287724606e-05,-0,-0.249967581186382,6.72896720632294e-05,-0
0.250011783845202,2.26103284169985e-05,-0,-0.249966799863433,6.85643172141583e-05,-0
0.250011706160155,2.43615006859521e-05,-0,-0.249966165430953,6.95656700653602e-05,-0
0.250011612283579,2.60027929839904e-05,-0,-0.249965655297392,7.03446442008799e-05,-0
0.250011505490026,2.75380769900722e-05,-0,-0.249965262614297,7.09585365502394e-05,-0
0.250011377500662,2.89730557779521e-05,-0,-0.249964993996956,7.14550832904732e-05,-0
0.250011218376304,3.03180087266349e-05,-0,-0.249964837150701,7.18642161199353e-05,-0
0.250011020539857,3.15919374310729e-05,-0,-0.24996475164244,7.22167076535134e-05,-0
0.250010795876811,3.28021771737035e-05,-0,-0.2499647090692,7.25466285844503e-05,-0
0.250010566626422,3.39357824496367e-05,-0,-0.249964713629144,7.28851666055503e-05,-0
0.25001036414256,3.49746233959775e-05,-0,-0.249964765144659,7.3256584592928e-05,-0
0.250010224288036,3.58982785760075e-05,-0,-0.249964850722163,7.36506535692988e-05,-0
0.25001016034952,3.6703575614846e-05,-0,-0.24996493853336,7.40264609759241e-05,-0
0.250010170738245,3.73988278678164e-05,-0,-0.249964988489582,7.43552215340662e-05,-0
0.250010238917901,3.8002735742723e-05,-0,-0.249964977963748,7.46251544528373e-05,-0
0.250010329925367,3.85563989440083e-05,-0,-0.249964903340231,7.48270664430927e-05,-0
0.250010417118961,3.9079718565833e-05,-0,-0.24996477754055,7.49579983735318e-05,-0
0.250010480937752,3.95740431191764e-05,-0,-0.249964619864621,7.50350331503232e-05,-0
0.25001049174903,4.0042440705787e-05,-0,-0.249964450564721,7.50986834650714e-05,-0
0.250010428411571,4.04813539376154e-05,-0,-0.2499643084771,7.5191611974015e-05,-0
0.250010297538966,4.09053006766578e-05,-0,-0.249964229340071,7.53554304191594e-05,-0
0.250010113470254,4.13299372852905e-05,-0,-0.249964210564506,7.56087616094535e-05,-0
0.250009883065097,4.17643964814349e-05,-0,-0.249964221596893,7.59264575547902e-05,-0
0.250009622926479,4.22204107866986e-05,-0,-0.249964226306053,7.62566356191451e-05,-0
0.250009354943177,4.26806631415705e-05,-0,-0.24996421391906,7.65770362632365e-05,-0
0.250009094415854,4.31041042654405e-05,-0,-0.249964185521232,7.69208160848304e-05,-0
0.250008847146774,4.34688598614184e-05,-0,-0.249964147284978,7.73183268345083e-05,-0
0.250008602811118,4.37824168828987e-05,-0,-0.249964126331306,7.77778660090613e-05,-0
0.250008352701933,4.40663845991794e-05,-0,-0.249964122574754,7.82755745359039e-05,-0
0.250008097774852,4.43429766006708e-05,-0,-0.249964092632345,7.87590355115105e-05,-0
0.250007842187276,4.46095319966874e-05,-0,-0.249963997676448,7.92124658448442e-05,-0
0.250007602378586,4.48461967591588e-05,-0,-0.24996383523383,7.96512626623597e-05,-0
0.250007402575282,4.50475897786462e-05,-0,-0.249963644158464,8.00523715829994e-05,-0
0.250007237410399,4.521530746308e-05,-0,-0.249963463488863,8.03906511003599e-05,-0
0.250007063377645,4.53407897347967e-05,-0,-0.249963303665685,8.06836780134452e-05,-0
0.25000684100083,4.54156799463715e-05,-0,-0.249963164693789,8.09416502412401e-05,-0
0.250006552840784,4.54494458592485e-05,-0,-0.249963063197337,8.11530803566217e-05,-0
0.25000620466667,4.54653274488381e-05,-0,-0.249963020988967,8.13104035184215e-05,-0
0.250005829180025,4.54811909757888e-05,-0,-0.249963033203529,8.14126454587555e-05,-0
0.250005456239811,4.55024623238717e-05,-0,-0.249963083176039,8.14604024255934e-05,-0
0.25000509367018,4.55158350226587e-05,-0,-0.249963162266468,8.14619955574956e-05,-0
0.250004746392796,4.55095044903524e-05,-0,-0.249963270455413,8.14339522157124e-05,-0
0.250004424168994,4.55020642036247e-05,-0,-0.249963403670221,8.13940865559597e-05,-0
0.250004129012144,4.55165594204506e-05,-0,-0.249963561660118,8.13541567776078e-05,-0
0.250003861055307,4.55531055643969e-05,-0,-0.249963753953012,8.1303541950903e-05,-0
0.25000364174534,4.55951205666185e-05,-0,-0.249963969503522,8.12261489614628e-05,-0
