linearVelRFoot,linearVelLFoot
0,0
2.61532037487068e-05,5.83549980322632e-05
4.96640914756979e-05,0.000105105558561518
7.25589407095013e-05,0.000132722383923411
9.83730691812441e-05,0.000143292106868264
0.00012783743890076,0.000140140705395423
0.000158360527499835,0.000124405346390288
0.000186489507685051,9.87080243845447e-05
0.000211815634682356,6.94311596346583e-05
0.000232960679879567,4.6533012444072e-05
0.000245976077438199,4.65329925252399e-05
0.000249099526938502,7.41434259512352e-05
0.000242733938505017,0.000110281269673302
0.000231699601175424,0.000148778636478846
0.000221032076343855,0.000195766029974284
0.000211154965660788,0.00025384546524285
0.000203141461843936,0.000320661379328082
0.000197503730906963,0.000393041673552719
0.000194437142531154,0.00046779304273472
0.000195032247799695,0.000541529620533262
0.000198848299287923,0.00061312171849737
0.000206124401074962,0.000683379356694744
0.000218932669335691,0.000751096343797584
0.000237929449126187,0.000815129885729832
0.000261472210731123,0.000875735634402627
0.000287162416782166,0.000931124878987359
0.00031084599045907,0.000978310274411046
0.000327450735280084,0.00101411115461739
0.000333327667184386,0.00103330489344801
0.000326547510702651,0.00103147823172164
0.000306623955841375,0.0010097345655597
0.000275578562195749,0.000973286667124308
0.00023612243622208,0.000926459174699612
0.000191480416554987,0.000872850808172148
0.000149754393572749,0.000815329899348027
0.000123173062362404,0.000752936723883676
0.00011958933767944,0.000683776432092841
0.0001315398429791,0.000606470384267767
0.000151111529492838,0.000521788434096966
0.000175416484620859,0.000437459639918599
0.000199855380230941,0.000364290553656742
0.000221827943047838,0.000312622967347632
0.000242642318057719,0.000286235737873771
0.000264849901892641,0.00027346768997968
0.000289101902762052,0.00025706663269229
0.000311225973278945,0.000232161921663101
0.000329123586881128,0.000205668020954189
0.000344568594535759,0.000182065247579455
0.000355202581278959,0.000161139686669155
0.000357380650041143,0.000148988859162749
0.000351050711290534,0.000158123520755073
0.000336197845192384,0.000188193026830183
0.000314308508263354,0.000226083003291694
0.000290925876370426,0.000265183480450992
0.000271601018216002,0.000304336644098648
0.000258671544176961,0.000340088204459115
