positionRXFoot,positionRYFoot,positionRZFoot,positionLxFoot,positionLyFoot,positionLZFoot
0.25,0,-0,-0.25,0,-0
0.250000007000533,4.20096642486368e-07,-0,-0.25000001141316,5.28301322917862e-07,-0
0.250000040790865,1.58807518199763e-06,-0,-0.250000015020698,2.02337719886368e-06,-0
0.250000141225413,3.29893724932629e-06,-0,-0.249999966029569,4.26722257065383e-06,-0
0.25000037657461,5.30391789521503e-06,-0,-0.249999836351925,6.97486381674226e-06,-0
0.250000809248513,7.35741293103996e-06,-0,-0.249999605774435,9.86126134376443e-06,-0
0.25000145069227,9.25587378624732e-06,-0,-0.249999277581014,1.269156192564e-05,-0
0.250002265428652,1.08577555270398e-05,-0,-0.249998879382545,1.52983218338182e-05,-0
0.250003196585047,1.20971127033294e-05,-0,-0.249998438600893,1.75728513012644e-05,-0
0.250004175998347,1.29766071919095e-05,-0,-0.249997972802861,1.94527359835658e-05,-0
0.250005137931496,1.35391077807083e-05,-0,-0.249997497332884,2.09205040286012e-05,-0
0.25000603216336,1.38471926641514e-05,-0,-0.249997022153908,2.20024043650927e-05,-0
0.250006824111672,1.39697307461462e-05,-0,-0.249996562532835,2.27487615962438e-05,-0
0.250007490274839,1.39720642121284e-05,-0,-0.249996140412302,2.32146371914222e-05,-0
0.250008019243133,1.39041027013579e-05,-0,-0.249995775149524,2.34561736834204e-05,-0
0.250008416731667,1.37951280341842e-05,-0,-0.249995486326132,2.3527897091525e-05,-0
0.250008701098959,1.36694388359225e-05,-0,-0.249995272919814,2.34753214953637e-05,-0
0.250008900277429,1.35448920904772e-05,-0,-0.249995110740397,2.33418932107459e-05,-0
0.250009035463436,1.34292328708489e-05,-0,-0.249994993588647,2.31666762136751e-05,-0
0.250009102860766,1.33233554923073e-05,-0,-0.249994938759143,2.29688949590662e-05,-0
0.250009099599392,1.32244047099478e-05,-0,-0.249994938433646,2.27536273091993e-05,-0
0.25000904678397,1.31259229283314e-05,-0,-0.249994957370799,2.25251408328041e-05,-0
0.250008975184445,1.30169760247463e-05,-0,-0.249994963808807,2.23005065300602e-05,-0
0.250008899588641,1.28983005917565e-05,-0,-0.249994937675311,2.21009442792701e-05,-0
0.25000882260583,1.27787332481443e-05,-0,-0.249994873663265,2.19289143154791e-05,-0
0.25000876265939,1.2666124101299e-05,-0,-0.249994778818746,2.17698916970908e-05,-0
0.250008738913091,1.25638720950753e-05,-0,-0.249994668864313,2.16113145579718e-05,-0
0.250008755269306,1.24662323040988e-05,-0,-0.249994557453836,2.14532264982095e-05,-0
0.250008795318163,1.23799120878342e-05,-0,-0.249994447944307,2.1297235084842e-05,-0
0.250008828231254,1.23286516843231e-05,-0,-0.249994338823962,2.11405035661205e-05,-0
0.250008841961487,1.23264223701409e-05,-0,-0.249994228580485,2.09830689433772e-05,-0
0.25000885534465,1.23548612258267e-05,-0,-0.249994123556123,2.08254784782015e-05,-0
0.250008888083461,1.23805862426141e-05,-0,-0.249994026891911,2.06697077791755e-05,-0
0.250008924137786,1.23890580518242e-05,-0,-0.249993915425573,2.0524666720243e-05,-0
0.250008929487802,1.23738877226326e-05,-0,-0.24999376340856,2.0397052448258e-05,-0
0.25000889145638,1.23211619031606e-05,-0,-0.249993578651581,2.02772773745268e-05,-0
0.250008811956831,1.22318933876426e-05,-0,-0.249993385726356,2.01583164025113e-05,-0
0.250008692695206,1.21236845770776e-05,-0,-0.249993199405077,2.00469818419001e-05,-0
0.250008542135486,1.20133441467125e-05,-0,-0.249993024664619,1.99314820013905e-05,-0
0.250008362364973,1.19224886342231e-05,-0,-0.249992870274517,1.97941344018918e-05,-0
0.250008153912408,1.18704932137192e-05,-0,-0.249992752226207,1.96395830122939e-05,-0
0.250007931130147,1.18632858099978e-05,-0,-0.249992676147158,1.94689463097844e-05,-0
0.250007720597517,1.18861785161141e-05,-0,-0.249992625618498,1.92873990270842e-05,-0
0.250007548204553,1.19120880690772e-05,-0,-0.24999258422168,1.9115658708804e-05,-0
0.250007400432659,1.19354843512117e-05,-0,-0.249992556753371,1.89655743312476e-05,-0
0.250007249538921,1.1967153230904e-05,-0,-0.249992542102099,1.8852094974863e-05,-0
0.250007086999743,1.20077667126571e-05,-0,-0.249992529312022,1.87975993959884e-05,-0
0.250006918514328,1.20467112113079e-05,-0,-0.249992501830553,1.88057220079354e-05,-0
0.25000675911702,1.20764308137718e-05,-0,-0.249992428743256,1.88576323793044e-05,-0
0.250006610530441,1.20958235502285e-05,-0,-0.249992292748844,1.8935463576391e-05,-0
0.250006470439114,1.21044433938978e-05,-0,-0.249992105575179,1.90284357392076e-05,-0
0.25000632818545,1.21143187377955e-05,-0,-0.249991885576113,1.91197501985311e-05,-0
0.250006172200591,1.21299807289257e-05,-0,-0.249991638561011,1.91867398767463e-05,-0
0.25000600478677,1.21371270354075e-05,-0,-0.249991376293741,1.9214311318045e-05,-0
0.25000582491489,1.21301762683362e-05,-0,-0.249991108727311,1.92016553854017e-05,-0
0.250005642474326,1.21079446467614e-05,-0,-0.249990830008856,1.91474572218154e-05,-0
0.250005465844002,1.20718400330184e-05,-0,-0.249990536010307,1.90533086871294e-05,-0
0.250005293853783,1.20281738395503e-05,-0,-0.249990220321728,1.89310058069136e-05,-0
0.250005151337658,1.19611540824251e-05,-0,-0.24998990032955,1.87896459014809e-05,-0
0.250005069106533,1.1851602360593e-05,-0,-0.24998962190586,1.86365900673832e-05,-0
0.250005047766664,1.17088732241703e-05,-0,-0.249989405349973,1.84781720835609e-05,-0
