orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
-179.996886381836,-0.0231224131779091,-155,-179.953058744195,-0.00742381894025595,155,179.940551054713,0.139215836920396,-155,179.871023124124,0.17731943700543,155,179.877776021174,0.171337667897887,-155,179.88305378236,0.21621090857354,155
-179.996908367399,-0.0230953142482235,-155.000021214182,-179.953115060705,-0.00740455767389093,154.999989908594,179.940620002847,0.139093896520222,-155.000029363314,179.870988589902,0.177281432153492,155.000534796039,179.877815578855,0.171321539506339,-155.000258996757,179.883101575999,0.215939574833653,155.00075669618
-179.996967233895,-0.0230463309395315,-155.00006781182,-179.95324633985,-0.00733928326696422,154.999974913261,179.940774269167,0.138794349348271,-155.000131479844,179.870964168546,0.177246896659556,155.0018360488,179.877895759719,0.171245312254344,-155.000850777832,179.883223125801,0.215270089140252,155.002541505319
-179.997075509316,-0.0229836891321642,-155.0001362393,-179.953460732635,-0.00721720655793245,154.999966886004,179.941050422021,0.138255668086231,-155.000364000355,179.871011636386,0.177198301094139,155.004059465075,179.8780046674,0.17106758754995,-155.001807795539,179.883437395366,0.214053080586664,155.005422765375
-179.997228945232,-0.0229206819563074,-155.000223090964,-179.953761397496,-0.00706151273954526,154.999965294006,179.941500782292,0.137442882135418,-155.000781090678,179.871203670957,0.177033105656019,155.007119716584,179.878123049461,0.170750545096343,-155.003096542659,179.883749837528,0.212247553319816,155.009032866927
-179.997413064501,-0.0228818621812488,-155.000329874415,-179.954129714383,-0.00689227018066502,154.999955446442,179.942169323353,0.136351838649839,-155.001437256087,179.871632939737,0.176619585922729,155.01069860244,179.87824542095,0.170213388502978,-155.004623768644,179.88416022998,0.209925028823445,155.01271063904
-179.997617926421,-0.0228833838630613,-155.000452429709,-179.954529164416,-0.00670904140216551,154.999926355217,179.943064131948,0.135016214049794,-155.002371495234,179.872390445499,0.175835935839323,155.014308643777,179.878372352145,0.169368410489083,-155.00624326009,179.884679586781,0.207203030068097,155.015767539385
-179.997839676316,-0.022919080386746,-155.00057769408,-179.95493678705,-0.00652172548397459,154.999898342982,179.944175003678,0.133478869408552,-155.003581535927,179.873521086094,0.174590708665864,155.017422968765,179.878494840069,0.16815811638924,-155.00781119634,179.885327747215,0.204226245108429,155.017657936196
-179.998073762731,-0.0229798987765944,-155.000686194791,-179.955344914324,-0.00634626975583675,154.999896317085,179.945492138257,0.131746139353085,-155.005024137351,179.875014658846,0.172828244427099,155.019619853061,179.878596696978,0.166540475609029,-155.009233861393,179.886082433215,0.201099468459781,155.01802384898
-179.998322729837,-0.0230829056195845,-155.000763541813,-179.955741007284,-0.00618337645728626,154.99991039938,179.947001613035,0.129810236679726,-155.006644813459,179.876852242664,0.170536347919986,155.020671373557,179.878647254521,0.164495930927426,-155.010492497246,179.886861869125,0.197842177746057,155.0167288143
-179.998606771556,-0.0232444574318986,-155.000809070628,-179.956098150812,-0.00602521601966756,154.999941907634,179.948696133341,0.127695014847967,-155.00839628552,179.879018306211,0.167755330525613,155.020534084746,179.878601012199,0.162036819899167,-155.011630289194,179.887561016221,0.194473698926178,155.013877445872
-179.998936352783,-0.0234525481964086,-155.000832650434,-179.956392562367,-0.00585865415200605,155.000010078504,179.950569006023,0.125447813685827,-155.010242964245,179.881472125268,0.164569064833111,155.019268887202,179.878412057445,0.159194934641064,-155.01268880523,179.88807902776,0.191059539076154,155.009755662279
-179.999303663252,-0.023702403947894,-155.000847219807,-179.956619084993,-0.005678103986692,155.000119116593,179.952595449686,0.123104334167133,-155.012154608434,179.88416418564,0.161054522821582,155.016967087903,179.878063856099,0.156001978453101,-155.013669506143,179.888344554926,0.187660811766479,155.00469337198
-179.99970001394,-0.0240101336266275,-155.000862972267,-179.956784830296,-0.00549568389897065,155.000270957658,179.954737622399,0.120680867624295,-155.014096627303,179.887049155781,0.157238740553412,155.013736605515,179.877586349445,0.15249798021656,-155.014543105452,179.888343515397,0.184309659202036,154.998925036423
-180.00011016069,-0.0243864451318115,-155.000887680133,-179.956894350063,-0.0053340713282452,155.000470431233,179.956953523047,0.118183007179497,-155.016046261487,179.890076990124,0.153151918929584,155.00971416968,179.877025292218,0.148751495959136,-155.015285885354,179.888106007142,0.181029023975592,154.992561628096
-180.000511322017,-0.0248215384599057,-155.000917633318,-179.956943991174,-0.00521266508435363,155.000724439232,179.959203961975,0.115612665172696,-155.017995222868,179.893195620731,0.148863291008951,155.005067527668,179.876418255228,0.144846016598975,-155.015916664974,179.887681167735,0.177838902740238,154.985678605454
-180.000869777893,-0.0252849783484915,-155.000940441334,-179.956930308682,-0.00514752869266737,155.001031870473,179.961453177371,0.11298296852748,-155.019923116955,179.896343751888,0.144451109811013,155.00001973858,179.875799984741,0.140836252156099,-155.016519023801,179.887117273315,0.174761209130437,154.978375029846
-180.001152357284,-0.0257534642575099,-155.000951529138,-179.956850266325,-0.00515846287024266,155.00137142699,179.96366913998,0.110315218783941,-155.021805603933,179.899445548221,0.14001216333123,154.994838618636,179.875211333327,0.136753111390511,-155.017242302614,179.88645569953,0.171823314643441,154.970754767726
-180.001345295804,-0.0262182517762048,-155.000957143488,-179.95669778789,-0.0052494118734969,155.001716408337,179.965828336538,0.107622223913735,-155.023634841524,179.902430377558,0.135673103051571,154.989785021365,179.874691959893,0.13265060230152,-155.018248791898,179.885754738643,0.169037176977353,154.962935447822
-180.001442427322,-0.0266586300921759,-155.000966932583,-179.956464070059,-0.00539014974432155,155.002050901066,179.967905173897,0.104914592417227,-155.025392412556,179.905271282994,0.131546612459411,154.985087601596,179.87427012299,0.128612937158008,-155.019649351656,179.88507930116,0.166393315748707,154.955102577393
-180.001444767246,-0.0270637185675027,-155.000988155115,-179.956145344662,-0.0055352600519147,155.002372437946,179.969868596908,0.102229074637989,-155.027038313938,179.90799431154,0.127698262690339,154.980915095872,179.873969273951,0.124726188311677,-155.021455632056,179.88447858386,0.163866149758433,154.947497241295
-180.001365129363,-0.0274409625535858,-155.001021318981,-179.955742675573,-0.00565522487425362,155.002674839009,179.971688975355,0.0996165864658206,-155.028545405427,179.910641796321,0.124141378826658,154.977361619023,179.873813993629,0.121023645311761,-155.023559798609,179.88399270175,0.161432510895625,154.940329838389
-180.001216183217,-0.0277921515847692,-155.001061745126,-179.95524803393,-0.00573876550329895,155.002939889508,179.97333400626,0.0971044580288597,-155.029897230555,179.913248489053,0.120839485756438,154.974470573025,179.873839071364,0.117478329010817,-155.025779116456,179.883668269834,0.159099851351926,154.933729009535
-180.001008748344,-0.0281257511934528,-155.001115004283,-179.95465875374,-0.00577683880144062,155.00316419322,179.974784498009,0.0947151941906645,-155.031043810607,179.915842227013,0.117728468735715,154.97223105863,179.874089851746,0.114060092659112,-155.027912913196,179.883550672078,0.156889410856876,154.927733301815
-180.000749875023,-0.0284562999903386,-155.001189653201,-179.953985120667,-0.00575615826518992,155.003365199331,179.976055388489,0.0924715973110842,-155.031892286511,179.918439929285,0.114743772497404,154.97055804587,179.874598739387,0.110751326005792,-155.029777327649,179.883672708732,0.154822890741673,154.922287602711
-180.000447514104,-0.028780878343587,-155.001277500507,-179.953232704927,-0.00568583940446747,155.003547607695,179.977177848286,0.090386583729221,-155.032352699119,179.921044959721,0.111850699726101,154.969321723903,179.875368379142,0.107549187826581,-155.031239981967,179.884066767011,0.152935799341413,154.917294904771
-180.000125866541,-0.0290823908831151,-155.001367165019,-179.952409830519,-0.0056089874877716,155.00369211277,179.978180371737,0.0884697704722718,-155.032377664317,179.923654974635,0.109043267424375,154.968404266704,179.876378478937,0.104471546166143,-155.032245721388,179.884759429164,0.151254504322716,154.912708948719
