specificForceRxFoot,specificForceRyFoot,specificForceRzFoot,specificForceLxFoot,specificForceLyFoot,specificForceLzFoot,specificForceRxShank,specificForceRyShank,specificForceRzShank,specificForceLxShank,specificForceLyShank,specificForceLzShank,specificForceRxThigh,specificForceRyThigh,specificForceRzThigh,specificForceLxThigh,specificForceLyThigh,specificForceLzThigh
-0.000186931897033091,-0.000154568713218538,9.80683466954177,-0.000241343458446405,0.000366961693252639,9.80677140028431,0.000435330836311095,-0.000307181831206579,9.80656813341535,0.000128685835167799,-0.000901836161296647,9.80662020593149,0.000551937995055222,-0.000594769365103628,9.80667277693268,0.000118869514010783,-0.00104033831762146,9.80662998390764
-0.000739360086617161,-0.000731840332181364,9.80731729644962,-0.00101232186202093,0.00146137862659441,9.80704074092489,0.00162403869029112,-0.00132404844360256,9.80628539124751,0.000923721062563279,-0.0045306921415181,9.80684636932231,0.00237553552951214,-0.00306147733988183,9.80664280749632,0.000639504454527235,-0.00554690478951938,9.80659357431402
-0.00146532793110858,-0.00158535991005979,9.80770691687103,-0.00212247718112406,0.002924265702246,9.80733698575629,0.00341987256284267,-0.00304487596380413,9.80582176908584,0.00320726627522988,-0.0117806762824164,9.80776855901182,0.00537670371758615,-0.00800887059206492,9.80636607840906,0.00170085061395898,-0.0152261499417748,9.80664076505309
-0.00231685713069829,-0.00234770402694835,9.80789807100908,-0.00315095714824775,0.00448560040225602,9.80764457249985,0.00631480304489282,-0.00532013340378104,9.80533379138332,0.00753355036887912,-0.0219151149020424,9.80948648394308,0.00935473628944137,-0.0151695328166643,9.80583229633315,0.00364166979749976,-0.0295235456904296,9.80675051796812
-0.0034986763426558,-0.00293967023097225,9.80825331730745,-0.00365523727955092,0.00621921732796512,9.80783619054936,0.0102295065370011,-0.00794891494094064,9.80491911167444,0.013365943792831,-0.0335355895734185,9.81208230630878,0.0145164526829079,-0.0238322549964589,9.80523334242606,0.00716942274914317,-0.0461596722158043,9.8066440146645
-0.00458210202393261,-0.00332125655402898,9.80865412565558,-0.00345078070428363,0.00792320798069187,9.80787929884681,0.014036005929507,-0.0108429568701094,9.80443550829553,0.019348999241964,-0.0456087774774325,9.81530774820897,0.0208528778248192,-0.0326613675293564,9.80490996247049,0.0124312825537719,-0.0623643660006074,9.80604542230954
-0.00488139481926432,-0.00341471913043074,9.80883188902807,-0.00256411211140467,0.00948218095205448,9.80782263729141,0.0175101757814493,-0.013811315963003,9.80377619462583,0.0249688840913283,-0.0570298945180618,9.8183087360004,0.0275151454061972,-0.0404674854695378,9.80503785952109,0.0187878608194722,-0.0756150345440452,9.80495823840418
-0.00415654881557678,-0.00306215248599332,9.808902258958,-0.000990875871398847,0.0108966410065614,9.80766831683358,0.0211732712664797,-0.016222256720753,9.80306426191924,0.0308096538098454,-0.066459243595766,9.82057610730062,0.0336971149251317,-0.0465785960208315,9.80530037370132,0.0254773991463667,-0.0840870995893245,9.80373019276221
-0.00278491524339694,-0.00227158736152954,9.80884981856536,0.00078297882387404,0.0119107492370892,9.8075590513637,0.0248358229780357,-0.0174942675403734,9.80239564480149,0.0372504366726069,-0.0730632860722439,9.82206488695163,0.0395248571081968,-0.050525285779007,9.80550441370996,0.032373779631764,-0.0870462257694004,9.80282377983409
-0.0019193696867525,-0.00139264344871259,9.80874329007049,0.00237126741792234,0.0125021039272501,9.80773312421949,0.027555137042951,-0.0173248999499168,9.80152037678899,0.0438726679039824,-0.0761922076708846,9.822741971807,0.0447685872662012,-0.0526292065333393,9.80580299062797,0.0395119668080341,-0.0849459481710498,9.80212307208108
-0.00172931166474704,-0.000695896103606048,9.80880572505449,0.00406681897418783,0.0129581914062575,9.80819548071398,0.0291064187813038,-0.0159800354630451,9.80017675633994,0.0500662953016581,-0.0752115439916039,9.82250769826487,0.0484653122134845,-0.053838585155935,9.80601893259639,0.0461059344625893,-0.0790511717752881,9.80115705263124
-0.00164850020379308,-0.000198852355442695,9.80911066898773,0.00577615791067364,0.013365417170633,9.80852676512054,0.0301285804191288,-0.0140605547060117,9.79884617217824,0.0553237392502704,-0.0701396246067364,9.82088476758525,0.0504242503135984,-0.0547390331744914,9.80592708181036,0.0519847314661452,-0.071024692281218,9.8001100490807
-0.00221373713984157,0.000267711245377432,9.80957649918672,0.00680606097422851,0.0135537577468115,9.80868593256078,0.0309742038699744,-0.0117456193926048,9.79797365317411,0.0594618624000374,-0.0621844599637118,9.81791144779612,0.0512515004630192,-0.0552596350608262,9.80584007218587,0.0577146514196323,-0.0627360641548038,9.79924082576665
-0.00346323275213386,0.000834374299993833,9.80986724446279,0.0069995425036818,0.0132694480771078,9.80877729941873,0.0317271662140934,-0.00904679672317506,9.79731059029152,0.0627128298691822,-0.053312540380503,9.81476363018455,0.0511936612965639,-0.0551202120295378,9.80579016869505,0.0630209183554819,-0.0555412186802999,9.79851963555554
-0.00459960690710206,0.00164404433337965,9.80993041974545,0.00673799271610426,0.0123175496092033,9.80855312649158,0.032362588292975,-0.00593127269544993,9.79705111460202,0.0650138175184698,-0.0448594923284861,9.81250089301218,0.0505363363279205,-0.0539964187083175,9.80566288376525,0.0674072133682779,-0.0493786016947431,9.79808011038068
-0.00543739527353609,0.00249182779277388,9.80990932679875,0.00619741960782183,0.0109223951793495,9.80834733755398,0.0330568143073219,-0.00224123549914077,9.79752303206963,0.0660856719210097,-0.0367693199758369,9.81114029326083,0.0495323900822348,-0.0511414356897314,9.80586375586915,0.0705221307692046,-0.0435629222927503,9.79808482334703
