orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
180.150781054505,0.0158381832670266,-155.203281502801,180.035202890701,-0.0590862838547624,154.927798740502,-180.494439925087,0.0842037559121931,-153.959486429976,-180.890828284392,-0.161499053490556,154.154263391469,-180.498731996249,0.0818314100222853,-153.525645956307,179.787338470672,-0.504057381168654,155.176602808441
180.152015267575,0.0155620479313682,-155.205002473176,180.035523689417,-0.0577000101257076,154.928075807868,-180.493790718713,0.0823553826912865,-153.950150191493,-180.885138003832,-0.162900446625584,154.16209635567,-180.4935951637,0.0795176658774985,-153.527726521693,179.797526543936,-0.503785393609116,155.181819913305
180.153234728364,0.0153312173555637,-155.206796988143,180.03581595594,-0.0564045542494631,154.928360467839,-180.493576624481,0.079941342479697,-153.938791901146,-180.879281720802,-0.164166277159172,154.169326910678,-180.488372796647,0.0772851370680323,-153.529686950163,179.807577031943,-0.503458129563841,155.186826143339
180.154404071299,0.015124226624796,-155.208621126342,180.036089284997,-0.0552342958178558,154.928647912572,-180.493683490399,0.0770319350972308,-153.925950498423,-180.87321771911,-0.165298552025793,154.176086735429,-180.483084701778,0.0751213979901077,-153.531510120201,179.817485836826,-0.503090308856221,155.191521185299
180.155497587643,0.0149282190703421,-155.210435614464,180.036361346951,-0.0542215830328712,154.928924975267,-180.49399061912,0.0737803237041458,-153.91225250089,-180.866929890884,-0.166322016417109,154.182476851161,-180.477766882711,0.073005351294966,-153.533191829136,179.827263799431,-0.502680420415295,155.195819118597
180.156511646723,0.0147332119186775,-155.212224747637,180.036654107336,-0.0533870558621187,154.929186579823,-180.494352461013,0.0703933921027806,-153.898309314109,-180.860422191862,-0.167283038823905,154.188552149324,-180.47245727937,0.070904954965768,-153.53477070952,179.836912820091,-0.502223782465168,155.199704079234
180.157459776779,0.0145411597681451,-155.213986647547,180.036968480829,-0.0526947729738728,154.929434036004,-180.494618259158,0.0670849411898555,-153.884653705259,-180.853728708579,-0.168224166860082,154.194340342686,-180.467189413487,0.068794990700876,-153.536303041654,179.846398545282,-0.501736791445139,155.203261353261
180.158358986995,0.0143723506050048,-155.215720675251,180.037275697064,-0.0520844634070695,154.929668809373,-180.49467077723,0.0640160501569662,-153.871708251166,-180.846915707753,-0.169174283342847,154.199848099042,-180.461982953615,0.0666705681676078,-153.537828825431,179.855694788021,-0.501251666991533,155.206599413027
180.159214819375,0.014231872437356,-155.217431930862,180.037554824726,-0.0515402692716752,154.929887705797,-180.494431482994,0.0612698648012048,-153.859760080783,-180.840071179769,-0.170151233879414,154.205042301762,-180.456846348338,0.0645518653074389,-153.539379100605,179.864826887194,-0.500793176820406,155.209765965531
180.160028918927,0.0141115203431773,-155.219120371564,180.037800643679,-0.0510531272770532,154.930098151904,-180.493844559652,0.0588769129343332,-153.848950820684,-180.83326807794,-0.171154379574227,154.209864952373,-180.451779199111,0.0624963241375548,-153.540986597413,179.873819633726,-0.500365470634434,155.212774725154
180.160813567738,0.0140174991180322,-155.22077725701,180.038004260537,-0.0506237606139673,154.930301402554,-180.492878038834,0.0568266331667417,-153.839287441074,-180.826522611223,-0.172177972532178,154.214264407544,-180.446779024791,0.060564750443076,-153.542674736009,179.882676826351,-0.499970773831968,155.215641131764
180.161583285638,0.0139540560477191,-155.222406262802,180.038149359186,-0.0502919086234352,154.930475168252,-180.491533310686,0.0550586443831509,-153.830663218447,-180.81980630365,-0.173226268497112,154.218219169458,-180.441855878782,0.0587718854887621,-153.544435243923,179.891420638294,-0.499591037428059,155.218362658243
180.162344398352,0.0139183066593098,-155.224015784151,180.038225965976,-0.0500883202935699,154.930607999423,-180.489841987007,0.0534856405963618,-153.822891670854,-180.813101206696,-0.17431072592033,154.221754958373,-180.436996230993,0.0571063151232847,-153.54620776181,179.900082177867,-0.499188596359957,155.220894942454
180.163093029792,0.0139162680314099,-155.225603450332,180.038249786087,-0.0499902416310155,154.930715894486,-180.487853151448,0.0520259138510621,-153.815726566923,-180.806403502183,-0.175438461064695,154.224942106555,-180.432140752897,0.0555933125095048,-153.547884188323,179.90868340103,-0.498744726143435,155.223181800654
180.163836385578,0.0139525009847814,-155.227172816597,180.038249795818,-0.0499771869068137,154.930807193241,-180.48561367522,0.0506185426223873,-153.808897807351,-180.799700723457,-0.176599181937411,154.227868647706,-180.427234450507,0.0543134624219805,-153.549341418829,179.917242889147,-0.498265103875786,155.225201989295
180.164593547471,0.0140308541103544,-155.22874594309,180.038239353076,-0.0500451475004399,154.930870022707,-180.483162616318,0.049205979920809,-153.802168349915,-180.792998355289,-0.177774546604307,154.230614726388,-180.422246172872,0.0533775466348634,-153.550483024625,179.925760913339,-0.497773887220876,155.226994528391
180.165377838436,0.01415471045334,-155.230348990222,180.038214066455,-0.0501598535620018,154.930877434653,-180.480541217174,0.0477068596337317,-153.795339128582,-180.786320111168,-0.178954890338923,154.233238060377,-180.417154628417,0.0529073350723959,-153.551246113125,179.934213382578,-0.49730863974242,155.22866213822
180.166212692967,0.0143077690088464,-155.232001110707,180.03816587779,-0.0502966732491944,154.930801149919,-180.477786408254,0.0460429579050487,-153.788237174076,-180.779663765801,-0.18013774927046,154.235758613627,-180.411942026752,0.0530348289260467,-153.551575141599,179.94257809469,-0.496906701373966,155.230324947154
180.167133811561,0.0144631774506319,-155.233724862831,180.038099800267,-0.0504454146128886,154.930650271126,-180.474925992213,0.0441829328215485,-153.780738732249,-180.773001847955,-0.181330805230813,154.238176250054,-180.406593817013,0.053899575554246,-153.551431330818,179.950869805779,-0.496571289741136,155.232065703615
180.168161711155,0.0146152539833381,-155.235564176167,180.038030800174,-0.050565333223148,154.930452891232,-180.471979923073,0.0421321801960538,-153.772780382145,-180.766327536943,-0.18254913759812,154.240484820169,-180.401093702,0.0556901001357687,-153.550809824411,179.959141652501,-0.496279408887018,155.23389371826
180.169299514251,0.0147653348454063,-155.237559235717,180.037960616224,-0.0506245777021191,154.930222616462,-180.468942745706,0.0399240652690118,-153.764347679568,-180.759661005672,-0.183794187075411,154.242678198845,-180.395415134466,0.0586611569056997,-153.549703954771,179.967450305578,-0.496026212308251,155.235757101729
