orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
179.989483449326,0.00757210283867832,-155,-179.9909477609,0.0155976714080778,155,179.849966738339,0.0871107950860014,-155,179.850853028126,0.0303043655537655,155,179.824068050195,0.0715259030776016,-155,179.805692615847,-0.0347186211996657,155
179.989511779945,0.00764438933700619,-155.000028947605,-179.990931861742,0.0156105217035853,155.000016050869,179.850410842189,0.0869763556134481,-154.998085717359,179.851711819391,0.029748266503213,155.000568363587,179.824171918635,0.0712234076168934,-154.999112774491,179.805944758102,-0.0352082228281548,155.00069895208
179.989587399294,0.00780465232278916,-155.000111292542,-179.9908559336,0.0156735137392733,155.000071913213,179.851409891443,0.0865797533433244,-154.993493073421,179.853836410404,0.0284214111156995,155.002103886902,179.82447127631,0.0705164696700484,-154.996911675735,179.806612151183,-0.0364349831086349,155.002530873582
179.98973683899,0.00806001812117203,-155.000262563981,-179.990687090374,0.0158353164167975,155.000171546707,179.853056062373,0.0857911573364048,-154.985475778959,179.857648997904,0.0261510434169223,155.005204294055,179.825095624111,0.0692783684236382,-154.992884454615,179.807935665068,-0.0386223582509598,155.00607397494
179.989990015249,0.00841356973174573,-155.000483116682,-179.990424746524,0.0161441472868425,155.000297848228,179.855342324348,0.0845275460834625,-154.973698366975,179.863401373864,0.0229011368394219,155.010515928468,179.826204365375,0.0674194134748803,-154.986628581992,179.81020334776,-0.0418453035435939,155.011893317684
179.990378590166,0.00885842969368405,-155.000756976232,-179.990067047375,0.0166459273035101,155.000441577142,179.858133376144,0.0827301605086921,-154.958193537067,179.871230259692,0.0187615057523244,155.018645787212,179.827994284465,0.064929402946703,-154.97787664515,179.813749043749,-0.0461527393963474,155.020522571745
179.99091904009,0.00937069049921146,-155.001079618562,-179.989609057877,0.0173705866944495,155.000595111871,179.861200704116,0.0803459521946946,-154.939241320445,179.881160323796,0.0139387557344404,155.030142331071,179.830671291733,0.0618677927708863,-154.966502067343,179.818916286309,-0.0516240210124247,155.032416464996
179.991604332285,0.00992103036545724,-155.001469510688,-179.989060304994,0.0183351381111003,155.000747619083,179.864293792535,0.0773319592093436,-154.917282901923,179.893067804556,0.00872063535186795,155.045458483818,179.834398732974,0.0582881193478156,-154.952580663437,179.826017142307,-0.0582786428998037,155.047816285958
179.992420070191,0.0104827682356217,-155.001938694477,-179.988445148876,0.0195288688668248,155.000895526096,179.867189862474,0.0736645258695517,-154.892878511007,179.906729283593,0.00342809406219773,155.064826246342,179.839273229347,0.0542655480398205,-154.936441879243,179.835277546377,-0.0660762001108784,155.066630312879
179.993349415195,0.0110327447259409,-155.002489222125,-179.987792044722,0.020929271927872,155.001045626425,179.869728837783,0.0693317685721919,-154.866624485822,179.92189041575,-0.00162144515987378,155.088205872196,179.845317816822,0.0499834010955064,-154.918579841658,179.846778543593,-0.0749700740924437,155.088485756928
179.994361176509,0.0115562686157746,-155.003115429845,-179.987116671567,0.0225273524944289,155.001203060012,179.87182415933,0.0643173649379494,-154.839026814607,179.938300045425,-0.00614184608369784,155.115332048605,179.852479079876,0.0456508681968594,-154.899493607047,179.860454011697,-0.0848677161345015,155.112910850644
