angularRateRxFoot,angularRateRyFoot,angularRateRzFoot,angularRateLxFoot,angularRateLyFoot,angularRateLzFoot,angularRateRxShank,angularRateRyShank,angularRateRzShank,angularRateLxShank,angularRateLyShank,angularRateLzShank,angularRateRxThigh,angularRateRyThigh,angularRateRzThigh,angularRateLxThigh,angularRateLyThigh,angularRateLzThigh
1.26934191889162e-06,-1.06460935132841e-06,-1.61738728374893e-05,-1.03185214051831e-05,-3.68518621613679e-06,-2.94814897290941e-06,1.67607728645036e-05,1.40378297159137e-05,-0.000126122086037822,6.60194286201987e-05,2.74682861480566e-05,-9.09626797683098e-05,-6.00548864851919e-07,-5.63424025933802e-05,-5.23774152015738e-05,4.14037495801887e-05,-4.37513496882463e-05,-4.04824530261545e-05
6.00998589280598e-06,-5.04063332944993e-06,-4.3821641695e-05,-4.06660664906041e-05,-1.74483461404036e-05,-1.39586769123228e-05,8.75469658892509e-05,3.37080632839882e-05,-0.000605342793481784,0.000328962495335172,0.000146433407655283,-0.000430683343898962,-1.10327368883697e-05,-0.000242197917327925,-0.000231614092053462,0.000212414005467698,-0.000198961340086599,-0.000150726800014914
1.45307207852723e-05,-1.21870561424858e-05,-4.64317020482049e-05,-7.93465954621714e-05,-4.21859635701433e-05,-3.37487708561144e-05,0.000222452811921097,-4.35349540117361e-05,-0.00147436034194248,0.000833301930212101,0.000409733367164353,-0.00100716810619584,-7.0216760260647e-05,-0.000528654202091944,-0.000513850030008364,0.000535136712589443,-0.000453877728926556,-0.000294118017469927
2.56804945956856e-05,-1.33491766357897e-05,-2.15917648523237e-05,-0.000106821680557415,-8.27455773351581e-05,-5.14557170035789e-05,0.000418633373688008,-0.000299058870463291,-0.00259840264618888,0.00153134432745146,0.000801291315385957,-0.00166236001288445,-0.000181272291223103,-0.000858642841693506,-0.000890723414970686,0.000923030610461963,-0.000728060064146398,-0.000458414559900003
3.03060526659613e-05,6.48767545098417e-06,2.34980377563906e-05,-0.000108475272747111,-0.000150534811668543,-5.06344647732198e-05,0.000688371291768424,-0.000650396920943468,-0.00390856741003177,0.00237230773083731,0.00124472537654216,-0.0022331427393482,-0.000246694802953666,-0.00125396663051012,-0.00149345173378061,0.0012668193997105,-0.000951098470946851,-0.000633585386691892
2.97893271077915e-05,5.81679713119835e-05,9.90675297982423e-05,-9.0297705185244e-05,-0.000228872308736281,-2.74568770324927e-05,0.00100601700379728,-0.000974056754246089,-0.00548820086786553,0.0033046328359952,0.00166352519620911,-0.00254943756117495,-0.000176844017694084,-0.00177978361511782,-0.00244141630913593,0.00151693356899655,-0.00106246904239712,-0.000762470681642658
4.17283473568066e-05,0.000140813255343868,0.000211999393950618,-7.38765531938791e-05,-0.000280082171781338,1.212079705069e-05,0.0013176669692211,-0.00126639054157431,-0.00743366409393053,0.00428596700537768,0.00199302949851164,-0.00253805946242523,1.9009923410752e-05,-0.00243142265354735,-0.00372381753135336,0.00169565788440926,-0.00105206033989578,-0.000827301406291479
8.74029967331218e-05,0.000252782014158841,0.000350018479081426,-7.56930998274592e-05,-0.000292531595562479,5.48337202464573e-05,0.00156583966669974,-0.00154196253218123,-0.0096981361448989,0.00527414549204243,0.00223563637360809,-0.00225965905455552,0.000280688731270677,-0.00312493630978172,-0.00523866346070896,0.00182229575790843,-0.00103877583229291,-0.000865605856361142
0.000190247830478108,0.000391899574974036,0.000494747886545244,-0.000107801626308505,-0.000274900838676538,8.22335637725747e-05,0.00169211088781225,-0.00173874963575928,-0.012152515096809,0.006212087817457,0.00246141541984294,-0.00179361569442792,0.000568225685304471,-0.00381108902621446,-0.00685142071805158,0.00190507373501947,-0.00109740771377429,-0.000833256993716964
0.000358236238953994,0.000539272281559827,0.000648279491613404,-0.000170298930583952,-0.000242969272291117,9.70463972851322e-05,0.00168010839097998,-0.0018117062125478,-0.0146673996697147,0.00704945208450512,0.00273412098704959,-0.00120660412106813,0.000891143662911732,-0.00446195048352648,-0.00845597309908947,0.00199261189148673,-0.00118472606186029,-0.000633148888662207
0.000579059541179325,0.000688358543401801,0.000811940344486425,-0.000254119271560643,-0.000217460642803191,0.000118132745687681,0.0015871306696612,-0.00172201122436546,-0.0170994635655369,0.00774263293034932,0.00307655351930651,-0.000520724400247573,0.0012556305031814,-0.00503129702081389,-0.00994535875433514,0.00209743671578982,-0.00127490843672944,-0.000278038433784468
0.000817068578723631,0.00083409385755093,0.000961862214969881,-0.000335272623982082,-0.000214048561938221,0.000135175746679854,0.00152511614209347,-0.00141225816519996,-0.0192664399854488,0.008261373652831,0.00345349648979443,0.000301327112765138,0.00161599000687107,-0.00550264946863934,-0.01115798880124,0.00217127772051833,-0.00133989578718245,0.000143750180178705
0.00102803967140444,0.000939946390939926,0.00105562373987625,-0.00037908729036125,-0.000244047921310317,0.000115831186802572,0.00158703112378235,-0.000910871293707172,-0.0209291776963345,0.00861252195869781,0.00384644847776856,0.00130160917828934,0.00190459047943566,-0.00586781489488208,-0.0119214171159417,0.00220269650145171,-0.00138355072422141,0.000570663594500552
0.00118713226040101,0.000970990782162159,0.00108705452543304,-0.000376551112132423,-0.00029870225952638,6.92186290372902e-05,0.00179107599167982,-0.000401214996106993,-0.0218206217652017,0.00883386334244592,0.00426530440553054,0.00247400667355276,0.0020800595813299,-0.00609927116974588,-0.0121176002332339,0.00221701537872415,-0.00146682444793151,0.000947201919363879
0.00129331972185571,0.000935571245587296,0.00109432428018711,-0.000338589214740014,-0.000354154235698856,3.59338953001892e-05,0.00209761059734388,-8.95206987719058e-05,-0.0217794414304788,0.00896659151352246,0.00469090076019581,0.00370745006028312,0.00216338048699585,-0.00614736148284379,-0.0117898751029887,0.00221778771052051,-0.00162697736859568,0.00119148113402155
0.00135565987423309,0.00088310506498321,0.00109104842458512,-0.00027467846236496,-0.000400293321150431,1.38995369135402e-05,0.00246487505842054,-1.29203816906081e-05,-0.0208026767447907,0.00906004674193299,0.00510015801553252,0.00482486744298887,0.00221445543233515,-0.00600435213761428,-0.011178910130543,0.00219178053447588,-0.00184919984767734,0.00124491471309401
0.00139884125198697,0.000868358044532153,0.00107160773062606,-0.000192889897302879,-0.000437855401849107,-3.15849174358053e-05,0.00282622413814923,-5.32853053655591e-05,-0.0190401657664774,0.00917782039862863,0.00550866541353387,0.00567923624921575,0.0022801786059317,-0.00576856846020482,-0.0106280560971939,0.00212969499935813,-0.00208744880605231,0.00110954131521707
0.0014423747378895,0.000907533356919138,0.00104039278486661,-0.000124533132193876,-0.000484051072554853,-9.36095085041212e-05,0.00307346706438319,-6.73334893037706e-05,-0.016822347964905,0.009367863192848,0.00596933438614439,0.00619073250444761,0.00237144514890989,-0.00554279826590315,-0.0104489423476579,0.00200779319564727,-0.0022977643168727,0.00084196442192967
0.00148481617729339,0.000986788095827748,0.00099294581128274,-0.000117739287221233,-0.000568172301985295,-0.00013360656184818,0.00316824484044243,2.92988917230131e-05,-0.0145817354689623,0.00965645574292593,0.00652925308474231,0.00638263958032532,0.00247123388533188,-0.00535632865341686,-0.0107430813635143,0.00180020864412886,-0.00246372517288497,0.000547003227992156
0.00152509349832929,0.00108607548312779,0.000909981269947032,-0.000166504865273045,-0.000678713377686597,-0.000147289932078896,0.00313507927464855,0.000191311969414454,-0.0126749163694816,0.0100702006441002,0.00712175021387753,0.00645476506544229,0.00254167199266335,-0.00518941786526328,-0.011323654902993,0.00151574047052377,-0.00259051867685394,0.000371320953828457
0.00156245318229195,0.00118122361382985,0.00078602663174951,-0.000223546689435129,-0.000773277202384256,-0.0001567674255475,0.00298037780283709,0.000283688950603148,-0.011299083741036,0.0106187363713206,0.00759509952451094,0.00672906069724721,0.00253009884284069,-0.00496900664967809,-0.0118570695062312,0.00121539943067571,-0.00265877561619536,0.000407152845127281
0.00159640929499473,0.00123746752314039,0.000650929318417273,-0.000268765251617428,-0.000828076404114303,-0.000170916028473856,0.00277017542634526,0.000221562960934893,-0.0105313539628254,0.0112615534097387,0.00788730545125082,0.00740623795166101,0.00239055212482296,-0.00459985816192681,-0.0120633327598194,0.000946416682753946,-0.00263911151326139,0.000587506526581589
0.00161850677148176,0.00122939397496465,0.000536090506867356,-0.000303512642825566,-0.000834322872131693,-0.000188200152005509,0.00264687383630106,1.84621202712628e-05,-0.010411776727179,0.0118882385138206,0.0080329787894519,0.00840496461496554,0.0021245847354726,-0.00403005158133756,-0.0118869745257519,0.000659367897627792,-0.00253633581568054,0.000758273002205449
0.00163082922689677,0.00117230537710376,0.000456740700399528,-0.000329152120636415,-0.000794992928211338,-0.000215534745953962,0.00274140324728838,-0.000220758801898538,-0.0109425663092034,0.0123410153046628,0.00810552669542044,0.00942085109826281,0.00179466586675274,-0.00325065987677526,-0.0115486116468982,0.000300580228208024,-0.00241405751084137,0.000801703659585116
0.00162708919228441,0.0010712674037824,0.000407057834061474,-0.000347012852462717,-0.000721981425272973,-0.00026609162314457,0.00311448592215449,-0.000431029099204185,-0.0119303697186766,0.012512655334008,0.00817848068143518,0.0101123703748333,0.00148340499836369,-0.00228596878865196,-0.0113710780537031,-9.23825367798122e-05,-0.00232980086344919,0.000721667784442677
0.00157021566216575,0.000923345865228564,0.00036527555568942,-0.000350167012261221,-0.000625453486364018,-0.000332855461399023,0.0036728932939364,-0.00066987071580736,-0.013036711507853,0.0123885050972269,0.00825765296875832,0.0103031255720594,0.00126168720198261,-0.00123408139766654,-0.0115788923048202,-0.000422797956383918,-0.00226911537198092,0.000615073740787966
0.00146623127240405,0.000735949012344867,0.00032266286158406,-0.000325578570660949,-0.000513931276524181,-0.000393566904987503,0.00420019640826653,-0.00100502001409979,-0.0139822306649401,0.0120170931787068,0.00824766472738939,0.0100388107760689,0.00114006341510567,-0.000222008700334899,-0.0120753849456355,-0.000603518813765949,-0.00222838383421383,0.000532416828642569
0.00134579097682543,0.000524175737607682,0.0002971256294816,-0.000272318957473487,-0.000418979771807748,-0.000431364464429777,0.00452339292181754,-0.0014607830022657,-0.0145838982685079,0.0114597059509875,0.00806868997300248,0.00947512386165986,0.00106615958267447,0.000703339294583211,-0.0124690127004276,-0.000622973036045049,-0.00217145406228209,0.00046249219153196
0.00120013421602965,0.00031673301248592,0.000301845745263132,-0.000198763042613098,-0.000388827514893188,-0.000434048892845767,0.00456411745436986,-0.00199468022751311,-0.0147450261301121,0.0107527280370056,0.00775631472693535,0.00869974852414967,0.000998364112911659,0.00154149924239569,-0.0124303113238613,-0.000526476709764511,-0.00204657202777816,0.000371750651168407
0.00101514983300112,0.000119096498017233,0.000305027631993847,-0.00011196091692172,-0.000425633702623078,-0.000409752459961183,0.00431075919573892,-0.00244888850410697,-0.0144476423061843,0.00996146683005907,0.00738428239211723,0.00767045772135506,0.000912800479875297,0.00222113980835273,-0.0118064203225959,-0.00036055858869328,-0.00188992313095781,0.00021057657747591
0.000773069486365727,-6.48461597283144e-05,0.000274174482243074,-1.77273490189449e-05,-0.000496200567354589,-0.000381927127264793,0.00383186753229323,-0.00263130324229535,-0.0137346341936823,0.00918772049225872,0.00701094702534675,0.0062959686418672,0.000832681423531598,0.00259430770492539,-0.0106800823113654,-0.00015484227415879,-0.00173840862386482,-6.50220441443983e-05
