orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
-179.995237014895,-0.00613455915166054,-155,-179.993301499759,0.000777494393762644,155,179.914800522228,0.0923727116903093,-155,179.92579923377,0.0765916929045809,155,-179.980395177291,-0.0102796391091354,-155,179.941836907031,0.112111501323831,155
-179.995219036003,-0.0061155755701102,-155.000017189132,-179.99327598548,0.000790635333511688,155.000024665223,179.915137715793,0.0921656015156858,-155.00011785039,179.926087041341,0.076441668705191,155.000355927014,-179.980387302297,-0.0103227581958097,-155.000289930106,179.942052046797,0.112019453075656,154.999979562003
-179.995172491161,-0.00606158396082025,-155.000052568829,-179.99321773537,0.000842232889274348,155.000045508626,179.915929482165,0.0916881514021028,-155.000361987716,179.926824880275,0.0760586763136992,155.001211804759,-179.980374446012,-0.010433198655734,-155.000962667492,179.942576914361,0.111779861190285,154.999939547764
-179.995085421077,-0.0059501939925672,-155.000114568612,-179.993118812932,0.000968013884607418,155.000043164887,179.917303142814,0.0908694046852819,-155.000679034323,179.928195383928,0.075334017784521,155.002734003388,-179.98034756639,-0.0106101592418198,-155.002096990168,179.943513857134,0.111346191911385,154.999920141986
-179.994954489882,-0.00575937497656043,-155.000213503603,-179.99298143623,0.00122807954002586,155.000022297452,179.919358454034,0.0896751567571785,-155.000964855671,179.930328910996,0.0741850122946191,155.005109660794,-179.98027671779,-0.0107946469687979,-155.003715323993,179.944909843379,0.110717137079596,155.000069532568
-179.994777066447,-0.00547805692541672,-155.000360811568,-179.992815689524,0.0016905575414806,154.99999175333,179.922179517711,0.0881004011520018,-155.001089084368,179.933331326615,0.0726047265970402,155.008607840077,-179.980116878205,-0.0108896231817203,-155.005814997107,179.946739967271,0.109921452521277,155.000704722915
-179.994552263699,-0.00510175279890088,-155.000559048579,-179.992624595506,0.00237781915095987,154.999944533194,179.9258350742,0.0861486061290029,-155.000871694806,179.937304404781,0.0706725800237998,155.013566768986,-179.979831653722,-0.0107860077677824,-155.008397660736,179.948900800575,0.108981844992001,155.002267617361
-179.994283174571,-0.00462061974314162,-155.000799194487,-179.992394713879,0.0032713972578613,154.999871102398,179.930375240466,0.0838202091300953,-155.000099465931,179.942338047298,0.0684932041565248,155.020319427049,-179.979411171538,-0.010320418744361,-155.011477591106,179.951212227869,0.10792962446914,155.005172478406
-179.993976824746,-0.00402075493478684,-155.001082412076,-179.99208210373,0.00435507961686509,154.999769672078,179.935834226471,0.081117919634361,-154.998578750992,179.94850547117,0.0661683578782983,155.029121825843,-179.978852125544,-0.00924920832763883,-155.015040731728,179.953446286361,0.106854009516621,155.009689131993
-179.993648257099,-0.00330106557774048,-155.001412937147,-179.991617538339,0.00562725614274056,154.999630368329,179.942228280802,0.0780836058636659,-154.996137783394,179.955898394644,0.0638177614228086,155.040110604296,-179.978137599417,-0.00734762305414166,-155.01897201651,179.955326668308,0.105924106613854,155.015930768198
