specificForceRxFoot,specificForceRyFoot,specificForceRzFoot,specificForceLxFoot,specificForceLyFoot,specificForceLzFoot,specificForceRxShank,specificForceRyShank,specificForceRzShank,specificForceLxShank,specificForceLyShank,specificForceLzShank,specificForceRxThigh,specificForceRyThigh,specificForceRzThigh,specificForceLxThigh,specificForceLyThigh,specificForceLzThigh
0.000176310330781153,0.000126615204923743,9.80667983241351,0.000371371368772396,0.00021764624565329,9.80655064809329,-0.000685110195751823,0.00350845287853049,9.8068332507766,0.00135396210958733,-0.00408278435622517,9.80677189876937,-0.00198956890450433,0.00240588061857371,9.80637019650202,-0.00132566349625186,-0.00307116644698889,9.80643710853491
0.000850118911599422,0.000676178170007419,9.8067759102687,0.00190405227670724,0.00110718510342308,9.80623327906173,-0.00193240913495668,0.0179613032941925,9.8073489239914,0.00687844714229467,-0.0200287397543009,9.80751091016964,-0.0088372173243959,0.0105245857214874,9.80554760844275,-0.00643003195659837,-0.0149859302403216,9.80547329946355
0.0020372399872416,0.00164380792181902,9.80685753151101,0.00484912469600621,0.00272422522154669,9.80575151136209,-0.00212445909730627,0.0466991789408829,9.80828635473892,0.0174919449432336,-0.0502717607686693,9.80951929430169,-0.0197704545326783,0.0239365580676199,9.80403216511322,-0.0163157903805708,-0.0367645211618522,9.80365951254029
0.00333501903840403,0.002717354801826,9.80664177266796,0.00866893737997775,0.0045181858457688,9.80522023552295,-0.00135646350255515,0.0868455995084496,9.80996233247766,0.0309967831324857,-0.0917167491204219,9.81292034814988,-0.0332765416387388,0.0412827547582609,9.80086770708149,-0.0301990809158521,-0.0644513105548791,9.80178053578683
0.00417081275917471,0.00386146012315705,9.80595956004528,0.0129472904262006,0.00632253058708218,9.8046293100371,-0.000889399088547575,0.13365462684268,9.81268844527511,0.0439319070278094,-0.14062245405422,9.81702872963439,-0.0504092612421868,0.0613377218777413,9.79573383654153,-0.0477225286134152,-0.094992497270501,9.80083067977618
0.00422012134431524,0.00488578273208366,9.80520212741719,0.0177114715622688,0.00844649976124068,9.80385012835328,-0.000391375930986999,0.182883641788089,9.81658616306227,0.0531424570709745,-0.193621260184326,9.8206838165537,-0.0722228148836785,0.0814598616424595,9.79008022942914,-0.0711519881714052,-0.127884481489611,9.80118208544044
0.00372678712681911,0.00537985204236174,9.80487857817435,0.0229825240240209,0.0106261589882133,9.80288976296968,0.000689958217595193,0.231222409925377,9.8211903913656,0.0567961094021585,-0.248619036438492,9.82256594278905,-0.0975760901388621,0.0988566926331196,9.78532502617119,-0.102391145064047,-0.164040717691341,9.80206680202528
0.00318599124159961,0.00539860604260748,9.80506622519028,0.0286380074455638,0.012557893856768,9.80185899610977,0.0014020487005326,0.275610950504453,9.82628381359174,0.0543226524584891,-0.304186873707888,9.82123654917629,-0.122508689004346,0.110515782370875,9.78271048390238,-0.139455964151649,-0.203514308239174,9.80291823718088
0.00290184002461765,0.00519072092346673,9.80560890581865,0.0344033882150915,0.0143773322441023,9.80082955186887,0.00203909142657745,0.313752176028614,9.83198375235619,0.0462822081509955,-0.35742550831484,9.81647638859991,-0.141262248330425,0.112307462536943,9.78337429400225,-0.179302353972182,-0.242890805163741,9.80411633296184
0.00312225963521264,0.00506113963871405,9.80628386471114,0.039850202074791,0.0159771465788291,9.7999176819916,0.00439326594005492,0.344503720204347,9.83727977573986,0.0347887675811473,-0.403656175156719,9.80998103567416,-0.148606805824258,0.0997665550704694,9.78631384539509,-0.219059039934753,-0.277103676909067,9.80557317125939
0.00377597145793728,0.00525633887849698,9.80687031812997,0.0447752428241193,0.0172436483195506,9.79929311719278,0.00862565955971516,0.366799884496068,9.84069730456135,0.0232185091803309,-0.439299395480533,9.80344869438622,-0.144121713709236,0.0726895546660425,9.78873434925768,-0.254297734363344,-0.302602170799403,9.80705226349438
0.004695124802448,0.00544113871712328,9.80740130697292,0.049131202775436,0.0182382197068939,9.79903087102305,0.0138499573007891,0.379628689684116,9.84088181052082,0.0151723169953675,-0.463393893594391,9.79838841928352,-0.133361139486245,0.0374261212221219,9.78923210315533,-0.280671001921213,-0.317184391144345,9.80827206483658
0.00617997479269508,0.00534377664400158,9.8081262767628,0.0525852162252156,0.0189933791269412,9.79922308462556,0.0187350196542915,0.382802523948977,9.83727263018829,0.0127307473226477,-0.476239453758133,9.796523627576,-0.122869549321855,0.00220215807126743,9.78921541254975,-0.295555464246535,-0.320923909657695,9.80916306314315
0.00809771798556196,0.00528639934150001,9.80906918728739,0.0550945757991567,0.0196488908962985,9.79997213669983,0.0218423333155253,0.377300275798498,9.83166026875255,0.0155329921953367,-0.479859362468416,9.79774777198982,-0.117498249224686,-0.0279401939739601,9.79029296316806,-0.298021865111571,-0.317659634698628,9.81067159808477
0.00982693070684485,0.00522310027865948,9.81004218042946,0.0573233201340672,0.0202305733601501,9.80109362341498,0.02289249835934,0.365377885563859,9.82702806365974,0.0226401536110235,-0.479029284121917,9.8003641494207,-0.120971918631289,-0.0515982825728633,9.79163817255935,-0.289832806454499,-0.312031395812379,9.81262131913486
0.011096890142527,0.00477379498072612,9.81090041471727,0.0595818215994189,0.0205764569413075,9.8022199081558,0.021712835448162,0.349654455850542,9.82528550386131,0.033160022792089,-0.477845697077799,9.80297584170871,-0.133489614064978,-0.0689894995234906,9.7920189879283,-0.275670344936071,-0.305082823936126,9.81335254676567
